001 # 0 # 0 # sky # sky # "cloudy"
002 # 0 # 0 # building, edifice # building # ""
003 # 0 # 0 # building, edifice # building # ""
004 # 0 # 0 # grass # grass # ""
005 # 0 # 0 # tree # tree # ""
001 # 1 # 0 # dome # dome # ""
002 # 1 # 0 # window # window # ""
003 # 1 # 0 # window # window # ""
004 # 1 # 0 # window # window # ""
005 # 1 # 0 # window # window # ""
006 # 1 # 0 # window # window # ""
007 # 1 # 0 # window # window # ""
008 # 1 # 0 # window # window # ""
009 # 1 # 0 # window # window # ""
010 # 1 # 0 # window # window # ""
011 # 1 # 0 # window # window # ""
012 # 1 # 0 # column # column # ""
013 # 1 # 0 # column # column # ""
014 # 1 # 0 # column # column # ""
015 # 1 # 0 # column # column # ""
016 # 1 # 0 # column # column # ""
017 # 1 # 0 # column # column # ""
006 # 0 # 0 # tree # tree # ""
