001 # 0 # 0 # sky # sky # ""
002 # 0 # 1 # grass # grass # ""
003 # 0 # 0 # tree # trees # ""
004 # 0 # 1 # building, edifice # building # "top"
005 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
006 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
007 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
008 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
009 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
010 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
011 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
012 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
013 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
014 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
015 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
016 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
017 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
018 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
019 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
020 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
021 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
022 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
023 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
024 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
025 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
026 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
027 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
028 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
029 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
030 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
031 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
032 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
033 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
034 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
035 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
036 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
037 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
038 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
039 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
040 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
041 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
042 # 0 # 1 # gravestones # gravestones # ""
043 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
044 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
045 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
046 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
047 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
048 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
049 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
050 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
051 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
052 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
053 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
054 # 0 # 0 # gravestone, headstone, tombstone # gravestone # ""
055 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
056 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
057 # 0 # 1 # gravestone, headstone, tombstone # gravestone # ""
